Incumbency,Candidate in GE24,Elected in GE24,Title,First Name,Surname,Gender,Consituency,Party Full,mean_pitch_hz,min_pitch_hz,max_pitch_hz,,,
Y,Y,Y,Deputy,Norma,Foley,F,Kerry,Fianna Fail,167.38,80.45,468.94,,,
N,Y,N,,Cleo,Murphy,F,Kerry,Green Party,211.54,85.83,497.4,,,
N,Y,N,,Linda ,Gordon - Kelleher,F,Kerry,Fianna Fail,204.64,77.37,499.51,,,
N,Y,N,,Catherina,O'Sullivan,F,Kerry,Aontu,198.86,75.13,386.15,,,
N,Y,N,,Michelle,Keane,F,Kerry,Independent,216.54,75.33,458.99,,,
N,Y,N,,Mary ,Fitzgibbon,F,Kerry,Independent,304.9,123.55,487.56,,,
N,Y,N,,Stephanie,O'Shea,F,Kerry,Sinn Fein,204.95,78.94,402.94,,,
Y,Y,Y,Deputy,Reada ,Cronin,F,Kildare North,Sinn Fein,199.68,80.81,497.25,,,
N,Y,N,Cllr,Angela ,Feeney,F,Kildare North,Labour,241.15,75.45,499.86,,,
N,Y,N,,Una ,O'Connor,F,Kildare North,Aontu,200.38,78.11,383.09,,,
N,Y,N,Cllr,Evie,Sammon,F,Kildare North,Fine Gael,185.57,75.45,483.14,,,
N,Y,N,,Avril,Corcoran,F,Kildare North,The Irish People,149.69,75.48,308.27,,,
N,Y,N,,Leah,Whelan,F,Kildare North,Solidarity - People Before Profit,253.84,75.03,499.65,,,
N,Y,N,,Caroline,Hogan,F,Kildare North,Sinn Fein,,,,,,
Y,Y,N,Deputy,Patricia,Ryan,F,Kildare South,Independent,223.35,83.34,491.39,,,
N,Y,N,Senator,Fiona ,O'Loughlin,F,Kildare South,Fianna Fail,212.74,75.09,491.76,,,
N,Y,N,,Melissa,Byrne,F,Kildare South,Aontu,176.91,78.21,498.44,,,
N,Y,N,,Monaa K.,Sood,F,Kildare South,Green Party,240.83,75.12,484.87,,,
N,Y,Y,Cllr,Shonagh,Ni Raghallaigh,F,Kildare South,Sinn Fein,192.03,74.96,498.11,,,
N,Y,N,,Edel,Doran,F,Kildare South,Independent Ireland,,,,,,
N,Y,N,,Leanne,O'Neill,F,Kildare South,Independent,,,,,,
N,Y,N,,Elaine,Mullally,F,Laois,Independent,185.59,75.44,388.29,,,
N,Y,N,,Rosie,Palmer,F,Laois,Green Party,200.55,84.14,484.32,,,
N,Y,N,,Mary ,Hand,F,Laois,Aontu,,,,,,
N,Y,N,Cllr,Aisling ,Moran,F,Laois,Independent,154.95,75.11,490.05,,,
N,Y,N,,Maria,McCormack,F,Laois,Sinn Fein,202.54,139.49,474.61,,,
N,Y,N,,Pauline,Flanagan,F,Laois,Independent,199.85,75.03,374.44,,,
N,Y,N,Cllr,Sarah,Beasley,F,Limerick City,Aontu,169.3,75.33,485.16,,,
N,Y,N,,Melanie,Sheehan Cleary,F,Limerick City,Independent,160.09,74.98,352.52,,,
