Candidate Name,Party,Constituency,Vocal Pitch (Hz),Source,Time Stamp,URL,,,,,
Jina Ahearne,IP,Dublin South-Central,227.13,TikTok video (party account),0:00-0:31 s,https://www.tiktok.com/@nationalalliance/video/7441147267882519840,,,,,
Joan Collins,RTC,Dublin South-Central,142.31,Youtube video (interview),0:35-1:05 s,https://www.youtube.com/watch?v=I_mb1QUEieQ,,,,,
Teresa Costello,Fianna Fail,Dublin South-West,147.53,Facebook video (party account),0:00-0:26 s,https://www.facebook.com/watch/?v=547250681002921,,,,,
Niamh Whelan,Sinn Fein,Dublin South-West,236.03,TikTok video (personal account),0:00-0:33 s,https://www.tiktok.com/@niamhwhelan37/video/7439458362766396705,,,,,
Sarah Barnes,Fine Gael,Dublin South-West,186.03,News interview,0:00-0:30 s,https://www.independent.ie/videos/suddenly-i-found-myself-flying-through-the-air-backwards-fine-gael-general-election-candidate-sarah-barnes/a1916022348.html,,,,,
Saoirse Ní Chónaráin,Aontú,Dublin South-West,,(can't find videos on initial search),,,,,,,
Lorna Nolan,Fianna Fail,Dublin West,,(can't find videos on initial search),,,,,,,
Breda Hanaphy,Sinn Fein,Dublin West,155.42,Facebook video (personal account),0:03-0:34 s,https://www.facebook.com/watch/?v=288515518684343,,,,,
Emer Currie,Fine Gael,Dublin West,182.9,News interview,0:00-0:33 s,https://www.independent.ie/irish-news/newly-elected-td-for-dublin-west-emer-currie-speaks-about-her-priorities-for-the-area/a1804122675.html,,,,,
Ellen Murphy,Social Democrats,Dublin West,190.86,TikTok video (party account),0:00-0:32 s,https://www.tiktok.com/@social_democrats/video/7427146461285977366,,,,,
Ruth Coppinger,PBP-Solidarity ,Dublin West,192.94,Facebook video (dail speech),0:00-0:31 s,https://www.facebook.com/watch/?v=2243864116054364,,,,,
Ellen Troy,Aontú,Dublin West,278,Facebook video (personal account),0:00-0:30 s,https://www.facebook.com/watch/?v=589091826893057,,,,,
Susanne Delaney,Independent,Dublin West,341.89,Facebook video (news account),0:00-0:32 s,https://www.facebook.com/watch/?v=995848248732928,,,,,* lots of background noise
Tania Doyle,Independent,Dublin West,203.37,Facebook video (personal account),1:05-1:33 s,https://www.facebook.com/watch/?v=538725335740760,,,,,
Natalie Treacy,Independent,Dublin West,220.84,Facebook video (personal account),0:00-0:31 s,https://www.facebook.com/252636294911112/videos/299545757646624,,,,,
Jennifer Carroll MacNeill,Fine Gael,Dún Laoghaire,180.09,Facebook video (party account),0:00-0:30 s,https://www.facebook.com/watch/?v=1275072976938659,,,,,
Martha Fanning,Labour,Dún Laoghaire,253,Facebook video (party account),0:00-0:33 s,https://www.facebook.com/LabourDunL/videos/152058810093420/,,,,,
Mairéad Tóibín,Aontú,Dún Laoghaire,214.6,Facebook video (personal account),0:00-0:32 s,https://www.facebook.com/watch/?v=1733754737477095,,,,,* lots of background noise
Cathy Lynch,IP,Dún Laoghaire,161.79,Youtube video (interview),0:00-0:33 s,https://www.youtube.com/watch?v=SHno9GxxMmg,,,,,
Anne Rabbitte,Fianna Fail,Galway East,195.69,Facebook video (personal account),0:00-0:32 s,https://www.facebook.com/reel/1423675255286717,,,,,
Clodagh Higgins,Fine Gael,Galway East,185.22,Facebook video (party account),0:00-0:38 s,https://www.facebook.com/watch/?v=1413742589298159,,,,,
Niamh Madden,Fine Gael,Galway East,190.12,Facebook video (personal account),0:00-0:32 s,https://www.facebook.com/p/Niamh-Madden-FG-Galway-East-61565433730976/,,,,,
Gráinne Seoige ,Fianna Fail,Galway West,198.07,Facebook video (party account),0:00-0:30 s,https://www.facebook.com/watch/?v=1586747211906235,,,,,
Mairéad Farrell,Sinn Fein,Galway West,220.05,Facebook video (dail speech),0:00-0:33 s,https://www.facebook.com/watch/?v=742516894890473,,,,,
Hildegarde Naughton,Fine Gael,Galway West,176.89,Youtube video (interview),1:21-1:52 s,https://www.youtube.com/watch?v=3v4f7R_cgeo,,,,,
Pauline O'Reilly,Green,Galway West,184.81,Facebook video (party account),0:00-0:33 s,https://www.facebook.com/watch/?v=1012995780310169,,,,,
Helen Ogbu,Labour,Galway West,185.78,Facebook video (personal account),0:00-0:34 s,https://www.facebook.com/watch/?v=1481449352518974,,,,,* WOC
Maisie McMaster,PBP-Solidarity ,Galway West,222.54,Youtube video (party account),0:04-0:36 s,https://www.youtube.com/watch?v=LYHs3v5Rbx8,,,,,
Catherine Connolly,Independent,Galway West,180.81,Youtube video (dail speech),0:09-0:40 s,https://www.youtube.com/watch?v=2QSSBIXgg8U,,,,,
Norma Foley,Fianna Fail,Kerry,167.38,Facebook video (party account),0:00-0:28 s,https://www.facebook.com/watch/?v=2263035807427974,,,,,
Linda Gordon-Kelleher,Fianna Fail,Kerry,204.64,Facebook video (party account),0:00-0:31 s,https://www.facebook.com/watch/?v=538615339158194,,,,,
Stephanie O'Shea,Sinn Fein,Kerry,204.95,Facebook video (personal account),0:00-0:27 s,https://www.facebook.com/Stephanie.OShea.SF/videos/915385510550154/,,,,,
Cleo Murphy,Green,Kerry,211.54,Facebook video (news account),0:00-0:34 s,https://www.facebook.com/watch/?v=1582117952404173,,,,,
Catherina O'Sullivan,Aontú,Kerry,198.86,Facebook video (personal account),0:00-0:32 s,https://www.facebook.com/61558653067062/videos/1433386303951221/,,,,,
Mary Fitzgibbon,Independent,Kerry,304.9,Facebook video (news account),0:38-1:09 s,https://www.facebook.com/watch/?v=1023700629465783,,,,,
Michelle Keane,Independent,Kerry,216.54,Youtube video (personal account),0:00-0:38 s,https://www.youtube.com/watch?v=7vUQY7IJM28,,,,,
Réada Cronin,Sinn Fein,Kildare North,199.68,Facebook video (dail speech),0:00-0:32 s,https://www.facebook.com/watch/?v=727007993346543,,,,,
Caroline Hogan,Sinn Fein,Kildare North,,(can't find videos on initial search),,,,,,,
Evie Sammon,Fine Gael,Kildare North,185.57,Facebook video (party account),0:00-0:32 s,https://www.facebook.com/watch/?v=926345309441297,,,,,
Angela Feeney,Labour,Kildare North,241.15,Facebook video (party account),0:00-0:30 s,https://www.facebook.com/reel/578309598069342,,,,,
Leah Whelan,PBP-Solidarity ,Kildare North,253.84,Instagram video (personal account),0:00-0:31 s,https://www.instagram.com/sp.leah_whelan/reels/?hl=en,,,,,
Una O'Connor,Aontú,Kildare North,200.38,Facebook video (party account),0:07-0:38 s,https://www.facebook.com/watch/?v=1302758423745611,,,,,
Avril Corcoran,IP,Kildare North,149.69,Facebook video (party account),0:00-0:27 s,https://www.facebook.com/watch/?v=939604634757454,,,,,
Fiona O'Loughlin,Fianna Fail,Kildare South,212.74,Facebook video (party account),0:00-0:33 s,https://www.facebook.com/watch/?v=660205313473815,,,,,
Shónagh Ní Raghallaigh,Sinn Fein,Kildare South,192.03,Youtube video (dail speech),0:05-0:36 s,https://www.youtube.com/watch?v=1pqhVDixVuE,,,,,
Monaa K. Sood,Green,Kildare South,240.83,Facebook video (personal account),0:00-0:31 s,https://www.facebook.com/61566375344404/videos/584965793919623/,,,,,* WOC
Edel Doran,Independent Ireland,Kildare South,,(can't find videos on initial search),,,,,,,
Melissa Byrne,Aontú,Kildare South,176.91,TikTok video (personal account),0:00-0:33 s,https://www.tiktok.com/@melissa.byrne.aon/video/7375583944114212129,,,,,
Leanne O'Neill,Independent,Kildare South,,(can't find videos on initial search),,,,,,,
Patricia Ryan,Independent,Kildare South,223.35,Facebook video (dail speech),0:00-0:33 s,https://www.facebook.com/watch/?v=714198656253562,,,,,
Maria McCormack,Sinn Fein,Laois,202.54,Facebook video (party account),0:00-0:32 s,https://www.facebook.com/watch/?v=603943095603592,,,,,
Rosie Palmer,Green,Laois,200.55,Facebook video (personal account),0:00-0:32 s,https://www.facebook.com/reel/1646168202633683,,,,,
Mary Hand,Aontú,Laois,,(can't find videos on initial search),,,,,,,
Pauline Flanagan,Independent,Laois,199.85,TikTok video (personal account),0:00-0:34 s,https://www.tiktok.com/@paulineflanagan/video/7438273075012996384,,,,,
Aisling Moran,Independent,Laois,154.95,Facebook video (personal account),0:00-0:32 s,https://www.facebook.com/reel/1091637188864589,,,,,
Elaine Mullally,Independent,Laois,185.59,Facebook video (news account),0:03-0:33 s,https://www.facebook.com/reel/577446888208593,,,,,
Dee Ryan,Fianna Fail,Limerick City,170.08,Facebook video (party account),0:00-0:33 s,https://www.facebook.com/watch/?v=924909396084260,,,,,
Maria Byrne,Fine Gael,Limerick City,175.23,Facebook video (personal account),0:00-0:32 s,https://www.facebook.com/reel/910467240747209,,,,,
Elisa O'Donovan,Social Democrats,Limerick City,192.71,Youtube video (party account),0:00-0:34 s,https://www.youtube.com/watch?v=JV6vyVeWkDs,,,,,
Esther Ahem,Independent Ireland,Limerick City,,(can't find videos on initial search),,,,,,,
Sarah Beasley,Aontú,Limerick City,169.3,News interview,0:00-0:32 s,https://www.limerickleader.ie/video/mayoral-election/1509427/watch-mayoral-candidate-sarah-beasley-s-vision-for-limerick-in-90-seconds.html,,,,,
Melanie Cleary,Independent,Limerick City,160.09,Facebook video (party account),0:00-0:34 s,https://www.facebook.com/watch/?v=489898260277071,,,,,
Michelle Hayes,Independent,Limerick City,,(can't find videos on initial search),,,,,,,
Bridie Collins,Fianna Fail,Limerick County,176.73,Facebook video (news account),0:00-0:32 s,https://www.facebook.com/watch/?v=651056922003645,,,,,
Joanne Collins,Sinn Fein,Limerick County,172.02,Facebook video (dail speech),0:00-0:33 s,https://www.facebook.com/reel/1007014151246095,,,,,
Noreen Stokes,Fine Gael,Limerick County,229.55,Facebook video (personal account),0:00-0:32 s,https://www.facebook.com/reel/1592126008062336,,,,,
Laura Fahey,PBP-Solidarity ,Limerick County,,(can't find videos on initial search),,,,,,,
April Sheehan Corkery,Independent,Limerick County,186.44,Instagram video (personal account),0:00-0:30 s,https://www.instagram.com/aprilsheehancorkery_roots/reels/,,,,,
Donna O'Loughlin,IFP,Limerick County,205.56,Facebook video (party account),0:00-0:31 s,https://www.facebook.com/watch/?v=1074666950654550,,,,,
Lorraine O'Sullivan,IP,Limerick County,,(can't find videos on initial search),,,,,,,
Dympna Cunniffe,Fianna Fail,Longford-Westmeath,184.17,TikTok video (personal account),0:00-0:38 s,https://www.tiktok.com/@dympna.cunniffe.f/video/7436089212094401795,,,,,
Sorca Clarke,Sinn Fein,Longford-Westmeath,203.52,Youtube video (dail speech),0:04-0:36 s,https://www.youtube.com/watch?v=ZgSqeKeiFr4,,,,,
Tanya Cannon,Fine Gael,Longford-Westmeath,177.56,Instagram video (personal account),0:00-0:32 s,https://www.instagram.com/_tanyacannon/reels/?hl=en,,,,,
Carol Okeke,Green,Longford-Westmeath,,(can't find videos on initial search),,,,,,,* WOC
Fidelma Bennett,Labour,Longford-Westmeath,,(can't find videos on initial search),,,,,,,
Laura O'Neill,Aontú,Longford-Westmeath,187.91,Facebook video (personal account),0:00-0:31 s,https://www.facebook.com/watch/?v=1129631824846000,,,,,
Louise Heavin,Independent,Longford-Westmeath,182.26,Facebook video (personal account),0:00-0:34 s,https://www.facebook.com/LouiseHeavinLongfordWestmeath/videos/187754722593654/,,,,,
Charlotte Keenan,Independent,Longford-Westmeath,157.28,News interview,0:00-0:17 s,https://www.midlands103.com/news/midlands-news/improving-lives-of-young-people-a-priority-for-longford-westmeath-candidate/,,,,,
Margaret Alacoque Maguire,IF ,Longford-Westmeath,,(can't find videos on initial search),,,,,,,
Alison Comyn,Fianna Fail,Louth,198.61,Facebook video (party account),0:00-0:32 s,https://www.facebook.com/watch/?v=1088634125693725,,,,,
Erin McGreehan,Fianna Fail,Louth,168.41,Facebook video (party account),0:00-0:31 s,https://www.facebook.com/watch/?v=1578852126317786,,,,,
Joanna Byrne,Sinn Fein,Louth,204.34,Facebook video (dail speech),0:03-0:34 s,https://www.facebook.com/watch/?v=1678889119656195,,,,,
Paula Butterly,Fine Gael,Louth,183.99,Facebook video (news account),0:00-0:30 s,https://www.facebook.com/reel/601183055924213,,,,,
Marianne Butler,Green,Louth,214.52,Facebook video (personal account),0:00-0:32 s,https://www.facebook.com/reel/1281531939651955,,,,,
Tracy O'Hanlon,Independent,Louth,242.33,Facebook video (party account),0:00-0:31 s,https://www.facebook.com/watch/?v=1359751124986674,,,,,
Lisa Chambers,Fianna Fail,Mayo,157.19,Facebook video (party account),0:00-0:33 s,https://www.facebook.com/watch/?v=364856093262864,,,,,
Rose Conway-Walsh,Sinn Fein,Mayo,200.09,Youtube video (dail speech),0:05-0:36 s,https://www.youtube.com/watch?v=Zp1EEOswbOk,,,,,
Martina Jennings,Fine Gael,Mayo,226.29,Facebook video (party account),0:00-0:31 s,https://www.facebook.com/reel/1260197428509562,,,,,
